"TIG2";"TIG";"Cambridge Tigers 2";"Tigers 2";FALSE;1;"TigersTwo";TRUE;43997;FALSE;""
"TIG3";"TIG";"Cambridge Tigers 3";"Tigers 3";FALSE;2;"TigersThree";TRUE;;FALSE;""
"TIG4";"TIG";"Cambridge Tigers 4";"Tigers 4";FALSE;3;"TigersFour";TRUE;;FALSE;""
"TIG5";"TIG";"Cambridge Tigers 5 (Dev)";"Tigers 5 (Dev)";FALSE;3;"TigersFive";TRUE;;TRUE;""
"TOR1";"TOR";"Kent Tornadoes";"Kent Tornadoes";TRUE;0;"Cambridge";FALSE;;FALSE;""
"TOR2";"TOR";"Kent Tornadoes 2";"Tornadoes 2";FALSE;0;"Cambridge";FALSE;;FALSE;""
"UNI1";"UNI";"Cambridge University 1";"Uni 1";TRUE;2;"UniOne";TRUE;39718;FALSE;""
"UNI2";"UNI";"Cambridge University 2";"Uni 2";FALSE;3;"UniTwo";TRUE;;FALSE;""
"VIK0";"VIK";"Ely Vikings SERL";"Vikings SERL";TRUE;-1;"VikingsOne";FALSE;;FALSE;"Ely Vikings 1"
"VIK1";"VIK";"Ely Vikings 1";"Vikings 1";TRUE;1;"VikingsOne";TRUE;34985;FALSE;""
"VIK2";"VIK";"Ely Vikings 2";"Vikings 2";FALSE;2;"VikingsTwo";TRUE;48609;FALSE;""
"VIK3";"VIK";"Ely Vikings 3";"Vikings 3";FALSE;3;"VikingsThree";TRUE;;FALSE;""
"VIK4";"VIK";"Ely Vikings 4";"Vikings 4";FALSE;3;"VikingsFour";TRUE;;FALSE;""
"WLW1";"WLW";"West London Wildcats";"Wildcats";TRUE;0;"Cambridge";FALSE;;FALSE;""
